"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_thetas","instagram_thetas","print_media_thetas","radio_thetas","tv_thetas","youtube_thetas","facebook_alphas","instagram_alphas","print_media_alphas","radio_alphas","tv_alphas","youtube_alphas","facebook_gammas","instagram_gammas","print_media_gammas","radio_gammas","tv_gammas","youtube_gammas","cluster","n","top_sol"
"1","1_1_1",0,0.414358308769331,0.17101313295651,0.17101313295651,0.214268782476777,0.488183525860492,0.571152632029583,0.841632786543725,0.374957356078588,0.63285744935839,0.670241450313725,0.428931637755359,0.556186040330692,0.295685738382357,0.57646849032401,0.469442982504397,0.255508207709862,0.414800445183804,0.680348766654397,0.519640659803577,0.569780290323724,0.426004308371107,1,34,FALSE
"2","1_1_2",0,0.364952605583877,0.172960643156838,0.172960643156838,0.0616075396130464,0.596701039668792,0.431333026312331,0.282227230233934,0.429290811219679,0.690060607966609,0.225786981348536,0.319351419161234,0.584471865713137,0.474690266215555,0.636697421141387,0.36437315946565,0.569593458703467,0.384764918351126,0.487985453956704,0.389308918963706,0.167561675928385,0.272425318623035,1,34,FALSE
"3","1_3_2",0,0.383124415951208,0.166090479928313,0.166090479928313,0.357183869478577,0.672876555702064,0.484032689742103,0.530501624582956,0.527351481145649,0.409526219951064,0.582174761180524,0.415496260037538,0.52983048464751,0.328947441925524,0.315629806948165,0.451819214249239,0.72995951233275,0.311144463992579,0.424574952515705,0.247156248810832,0.750942069346863,0.46653253189392,3,32,FALSE
"4","1_5_2",0,0.489518889088305,0.169001632276832,0.169001632276832,0.606720006497804,0.518996380502991,0.631653921555967,0.580072660887546,0.457666384170266,0.741001552952723,0.22057798229372,0.133079612874615,0.458816001930063,0.42292906384622,0.510204656649618,0.28641487913931,0.40365465099424,0.125905623925008,0.537684574072461,0.318154735888386,0.504572839519055,0.737557899298608,1,34,FALSE
"5","1_6_1",0,0.473632314546146,0.170141531009409,0.170141531009409,0.596917593523405,0.389004974916197,0.619317188238731,0.746396054171446,0.24388940093034,0.573422782871381,0.966475433166036,0.30913617862466,0.336449751429649,0.17102342928309,0.705281538290307,0.187649484715191,0.54430680670889,0.295635696882217,0.718656682359573,0.535346294667352,0.456987576771726,0.223565399695738,4,27,FALSE
"6","1_11_1",0,0.572412695837779,0.170660227256676,0.170660227256676,0.875902481369809,0.275862199919008,0.57585680011032,0.432478573012458,0.363882748797397,0.475130663455954,0.581047824995451,0.331871775441096,0.198671055362724,0.538517874544041,0.728109191946087,0.279521369825385,0.214073495697107,0.194689339306467,0.619042450430075,0.542945310459783,0.717381529197732,0.894526048413939,1,34,FALSE
"7","1_11_2",0,0.431988439173832,0.167630199611527,0.167630199611527,0.299473714882151,0.554438521173081,0.749897808385131,0.211550074338172,0.557229362707016,0.318999497534153,0.435525611662673,0.419323133602187,0.546252761352013,0.383146454602024,0.649599067240263,0.449047483369145,0.244829489381467,0.422552187693075,0.359872573897808,0.398806117708812,0.391670518706698,0.266737685544882,1,34,FALSE
"8","1_14_2",0,0.39979220454362,0.169376616216935,0.169376616216935,0.773151202325857,0.0370767852535007,0.366967561959186,0.518745915361277,0.105233967933566,0.0352592114698615,0.60376415986737,0.676022033951811,0.0943461926054824,0.434120288112021,0.0452349068809468,0.605984474813653,0.390953474123391,0.302830799919433,0.44321517706146,0.22916555907319,0.509148362188831,0.183443940384151,3,32,FALSE
"9","1_15_2",0,0.403718743107924,0.168168063319074,0.168168063319074,0.687087606858639,0.64243132188168,0.109467138389159,0.453477829734718,0.521801337562192,0.67404183569304,0.569956902680965,0.722278692112936,0.224745705163654,0.597009041191936,0.426280839165341,0.687101232595169,0.46954788575866,0.427535099936665,0.465348880028762,0.538283879044702,0.193583331997637,0.597760750444959,1,34,FALSE
"10","1_18_1",0,0.377100293655259,0.172862097768294,0.172862097768294,0.296150962890677,0.551261425697194,0.433318464699554,0.311091997033749,0.42066195776353,0.637491141479971,0.642823254693892,0.481472975953393,0.520767678685869,0.473547549786004,0.608074289229206,0.429121581323637,0.336496118281027,0.309811676200561,0.505478337156964,0.447302800739804,0.273135125531472,0.282310868058638,1,34,FALSE
"11","1_18_2",0,0.358020904131959,0.16610252218433,0.16610252218433,0.457307136535579,0.558583726186093,0.595888374315905,0.530501624582956,0.527351481145649,0.409526219951064,0.582174761180524,0.444874661952382,0.585984011151403,0.185743819686033,0.315629806948165,0.451819214249239,0.72995951233275,0.383211275799127,0.494306704902968,0.247156248810832,0.750942069346863,0.46653253189392,3,32,FALSE
