"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook",1,34,0.000460684501376599,3.42013433173922e-05,"[0, 0]",5.5857972123694e-05,0.000867330044791,0.000196471759282514,1.21658140528519e-05
"2","facebook",2,13,0.000820729962938329,0.000132315062402032,"[0, 0]",0,0.00185985600728079,0.000458352821373932,2.80460772730167e-05
"3","facebook",3,32,0.000554933985663842,7.18069532103088e-05,"[0, 0]",0,0.00138512151904909,0.00039980419508776,2.20679788810567e-05
"4","facebook",4,27,0.000331145156847679,2.1709583952969e-05,"[0, 0]",9.93509153614071e-05,0.000563104286208388,0.00011069759220817,6.92069247740728e-06
"5","instagram",1,34,0.00116716248110169,0.000122049114114434,"[0, 0]",0,0.00261679315768774,0.000701118781984832,4.05962699157313e-05
"6","instagram",2,13,0.00224291190242665,0.000454972656143721,"[0, 0.01]",0,0.0058004350551827,0.00157607151299098,9.04300816279259e-05
"7","instagram",3,32,0.00172720919655525,0.00020215052660711,"[0, 0]",0,0.00406150432041988,0.00112552649797039,6.37632052157643e-05
"8","instagram",4,27,0.00101740040740704,0.000104739793833831,"[0, 0]",0,0.00214078462022317,0.000534070252608388,3.2413385105454e-05
"9","print_media",1,34,0.00184231943959654,0.000119210842162978,"[0, 0]",0.000431861117056814,0.00326029590327804,0.000684814150951783,4.24046776578262e-05
"10","print_media",2,13,0.00462261352749492,0.00100870684320133,"[0, 0.01]",0,0.0125525394876204,0.00349426300473425,0.000197384499970595
"11","print_media",3,32,0.00285023856312013,0.000363254247768766,"[0, 0.01]",0,0.0070610692992224,0.00202251405537356,0.000112182802120904
"12","print_media",4,27,0.0014665863466284,0.000141086640502522,"[0, 0]",0,0.00297562153613386,0.000719403533029609,4.45901879009402e-05
"13","radio",1,34,0,0,"[0, 0]",0,0,0,0
"14","radio",2,13,0,0,"[0, 0]",0,0,0,0
"15","radio",3,32,0,0,"[0, 0]",0,0,0,0
"16","radio",4,27,0,0,"[0, 0]",0,0,0,0
"17","tv",1,34,0.000269509828083771,2.00054661659315e-05,"[0, 0]",3.2950444027857e-05,0.00050760656918914,0.000114922653663391,7.11617608573803e-06
"18","tv",2,13,0.000558402445513262,0.000122835345852023,"[0, 0]",0,0.00151585793736503,0.000425514119961998,2.39079411847376e-05
"19","tv",3,32,0.000456525210240947,4.2769896367602e-05,"[0, 0]",0,0.000950843796081895,0.000238132704797468,1.44152445017862e-05
"20","tv",4,27,0.00017631474937954,1.20918025809682e-05,"[0, 0]",4.72420845141778e-05,0.000305543405197631,6.16563373148682e-05,3.85468682134535e-06
"21","youtube",1,34,8.40208873533533e-05,5.99858173555467e-06,"[0, 0]",1.28581618107335e-05,0.000155182441557356,3.44592285702726e-05,2.1337650190623e-06
"22","youtube",2,13,0.000251554025992283,5.00953081151202e-05,"[0, 0]",0,0.000643192911383379,0.000173535237752411,1.00026604736182e-05
"23","youtube",3,32,0.000105706771315163,1.05242986258052e-05,"[0, 0]",0,0.00022697659672397,5.85968148325391e-05,3.47646693322271e-06
"24","youtube",4,27,0.000178595224229278,1.26927991078799e-05,"[0, 0]",4.27365592905296e-05,0.000313876180598557,6.47208303331928e-05,4.04627557549913e-06
