"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook",1,34,0.000708784035657702,0.000103720201291016,"[0, 0]",0,0.00194351791230458,0.000595827194027775,3.16684070743448e-05
"2","facebook",2,37,0.00081363131225481,9.68729235481786e-05,"[0, 0]",0,0.00200461170847644,0.000581237541289071,3.1990775667218e-05
"3","facebook",3,31,0.000519492970716674,6.20117956838503e-05,"[0, 0]",0,0.00122409822810526,0.000339652593274463,1.9226297117719e-05
"4","instagram",1,34,0.00111670639621144,0.000198967312687596,"[0, 0]",0,0.00347758715051688,0.00114298019234722,5.82176518708213e-05
"5","instagram",2,37,0.00135360321072043,0.000163138808040999,"[0, 0]",0,0.00335794132749788,0.000978832848245997,5.36930002423219e-05
"6","instagram",3,31,0.00131406263056185,0.000167012448382882,"[0, 0]",0,0.00320966919420691,0.000914764853634714,5.09009990048116e-05
"7","print_media",1,34,0.0023763271872782,0.000401704268560784,"[0, 0.01]",0,0.00714935106160498,0.00230761533612916,0.000118834158927912
"8","print_media",2,37,0.00336253816357205,0.000393545542899939,"[0, 0.01]",0,0.0082014094545644,0.00236127325739963,0.000130545009791552
"9","print_media",3,31,0.00195444078469563,0.000195245452791747,"[0, 0]",0,0.00417275567486904,0.0010694033874435,6.37531560581417e-05
"10","radio",1,34,0,0,"[0, 0]",0,0,0,0
"11","radio",2,37,0,0,"[0, 0]",0,0,0,0
"12","radio",3,31,0,0,"[0, 0]",0,0,0,0
"13","tv",1,34,0.000457674264666302,7.11134537026746e-05,"[0, 0]",0,0.00130263306619266,0.000408515689806696,2.14107519778389e-05
"14","tv",2,37,0.000328553909089056,2.16998062436947e-05,"[0, 0]",5.9990911039568e-05,0.00059538650667705,0.000130198837462168,8.03831586426079e-06
"15","tv",3,31,0.000411857910411205,4.72123482912761e-05,"[0, 0]",0,0.000947799005322293,0.000258592681519224,1.47978219026337e-05
"16","youtube",1,34,0.00016158522633028,3.10790813370087e-05,"[0, 0]",0,0.000529950656990247,0.000178535729737297,8.95981935823072e-06
"17","youtube",2,37,0.000126101401393189,1.29690461308736e-05,"[0, 0]",0,0.000285941550851433,7.78142767852413e-05,4.46030408506986e-06
"18","youtube",3,31,0.000136332187952399,9.16186187930175e-06,"[0, 0]",3.23426189000357e-05,0.000240699699157554,5.01815842004024e-05,3.11838635008407e-06
